Date,AAPL,IBM,KO
1982-02-23,0.26762199999999997,6.706784,0.258184
1982-02-24,0.269455,6.830725999999999,0.257143
1982-02-25,0.26762199999999997,6.789411,0.252979
1982-02-26,0.26762199999999997,6.8169509999999995,0.251938
1982-03-01,0.269455,6.8444970000000005,0.25401999999999997
1982-03-02,0.269455,6.720553,0.251938
1982-03-03,0.269455,6.596603999999999,0.252979
1982-03-04,0.26395599999999997,6.513978,0.25506100000000004
1982-03-05,0.24379299999999998,6.4451220000000005,0.263389
1982-03-08,0.240127,6.334944,0.263389
1982-03-09,0.24195999999999998,6.458897,0.266534
1982-03-10,0.238294,6.500208,0.266534
1982-03-11,0.238294,6.417578,0.268658
1982-03-12,0.22363000000000002,6.376263,0.266534
1982-03-15,0.22179699999999997,6.486435,0.268658
1982-03-16,0.218131,6.321177,0.268658
1982-03-17,0.207132,6.321177,0.267596
1982-03-18,0.22363000000000002,6.376263,0.267596
1982-03-19,0.24379299999999998,6.34872,0.266534
1982-03-22,0.26212399999999997,6.513978,0.271843
1982-03-23,0.258457,6.555295,0.2814
1982-03-24,0.24379299999999998,6.513978,0.284586
1982-03-25,0.24195999999999998,6.582836,0.287772
1982-03-26,0.238294,6.500208,0.284586
1982-03-29,0.24379299999999998,6.596603999999999,0.284586
1982-03-30,0.247459,6.6517,0.284586
1982-03-31,0.247459,6.582836,0.278215
1982-04-01,0.26029,6.720553,0.2814
1982-04-02,0.26029,6.775639,0.282462
1982-04-05,0.26029,6.775639,0.2814
1982-04-06,0.258457,6.803183,0.2814
1982-04-07,0.254791,6.803183,0.284586
1982-04-08,0.25662399999999996,6.85827,0.288833
1982-04-12,0.254791,6.8444970000000005,0.287772
1982-04-13,0.23462800000000003,6.830725999999999,0.28989499999999996
1982-04-14,0.236461,7.009752000000001,0.288833
1982-04-15,0.240127,7.11993,0.288833
1982-04-16,0.247459,7.106159,0.28989499999999996
1982-04-19,0.24195999999999998,7.0235259999999995,0.294143
1982-04-20,0.230962,6.968445,0.295205
1982-04-21,0.229129,7.037302,0.294143
1982-04-22,0.22546300000000002,7.092384,0.296267
1982-04-23,0.22546300000000002,7.243875999999999,0.296267
1982-04-26,0.230962,7.271416,0.296267
1982-04-27,0.22363000000000002,7.175014,0.294143
1982-04-28,0.21446500000000002,7.147473,0.29201900000000003
1982-04-29,0.21446500000000002,7.064845,0.290957
1982-04-30,0.216298,7.078612,0.28989499999999996
1982-05-03,0.22363000000000002,7.106159,0.287772
1982-05-04,0.230962,7.133707000000001,0.290957
1982-05-05,0.227296,7.175014,0.293081
1982-05-06,0.23462800000000003,7.2431160000000006,0.293081
1982-05-07,0.238294,7.229164,0.296267
1982-05-10,0.23462800000000003,7.131474000000001,0.290957
1982-05-11,0.227296,7.1872940000000005,0.293081
1982-05-12,0.22179699999999997,7.131474000000001,0.290957
1982-05-13,0.22363000000000002,7.103561999999999,0.287772
1982-05-14,0.21446500000000002,7.103561999999999,0.285648
1982-05-17,0.210798,7.019821,0.2814
1982-05-18,0.207132,7.005866999999999,0.283524
1982-05-19,0.20529899999999998,6.977958,0.28670999999999996
1982-05-20,0.207132,7.033782,0.285648
1982-05-21,0.20896599999999999,6.991913,0.287772
1982-05-24,0.210798,6.9500470000000005,0.28773000000000004
1982-05-25,0.210798,6.9081779999999995,0.28989299999999996
1982-05-26,0.20896599999999999,6.922134,0.283403
